CVEid,CVSSv3.1,CVSSv3.0,CVSSv2,CWE
CVE-2024-4577,9.8,,,CWE-78
CVE-2019-1068,,8.8,6.5,NVD-CWE-noinfo
CVE-2022-40303,7.5,,,CWE-190
CVE-2022-2068,9.8,,10.0,CWE-78
CVE-2023-44487,7.5,,,NVD-CWE-noinfo
CVE-2024-5535,9.1,,,
CVE-2023-38180,7.5,,,NVD-CWE-noinfo
CVE-2015-2590,9.8,,10.0,NVD-CWE-noinfo
CVE-2016-3427,9.8,,10.0,NVD-CWE-noinfo
CVE-2015-4902,5.3,,5.0,NVD-CWE-noinfo
CVE-2016-8735,9.8,,7.5,NVD-CWE-noinfo
CVE-2014-0496,9.8,,10.0,CWE-416
CVE-2013-2729,9.8,,10.0,CWE-190
CVE-2014-0546,9.8,,10.0,NVD-CWE-noinfo
CVE-2013-3346,9.8,,10.0,CWE-787
CVE-2011-4373,9.8,,7.5,CWE-787
CVE-2024-21413,9.8,,,NVD-CWE-noinfo
CVE-2011-2462,9.8,,10.0,CWE-787
CVE-2024-29059,7.5,,,CWE-209
CVE-2025-21298,9.8,,,NVD-CWE-noinfo
CVE-2023-29324,6.5,,,NVD-CWE-noinfo
CVE-2025-24813,9.8,,,CWE-502
CVE-2023-36038,8.2,,,NVD-CWE-noinfo
CVE-2012-0507,9.8,,10.0,NVD-CWE-noinfo
CVE-2013-2465,9.8,,10.0,NVD-CWE-noinfo
CVE-2011-3544,9.8,,10.0,NVD-CWE-noinfo
CVE-2012-1723,9.8,,10.0,NVD-CWE-noinfo
CVE-2021-3711,9.8,,7.5,CWE-120
CVE-2018-15978,,7.5,5.0,CWE-125
CVE-2018-12826,,7.5,5.0,CWE-125
CVE-2018-4944,,9.8,10.0,CWE-704
CVE-2018-12825,,9.8,7.5,NVD-CWE-noinfo
CVE-2018-12827,,7.5,5.0,CWE-125
CVE-2019-8069,9.8,,10.0,CWE-346
CVE-2018-5002,9.8,,10.0,CWE-787
CVE-2018-15982,9.8,,10.0,CWE-416
CVE-2024-23334,5.9,,,CWE-22
CVE-2023-23397,9.8,,,CWE-294
CVE-2023-21716,9.8,,,NVD-CWE-noinfo
CVE-2020-0618,8.8,,6.5,CWE-502
CVE-2024-9680,9.8,,,CWE-416
CVE-2018-5391,7.5,,7.8,CWE-20
CVE-2019-0703,6.5,,4.0,NVD-CWE-noinfo
